"id","min","q1","median","mean","q3","max","sd","n","unit","kde_95_reg","mcps_95_reg","species","study"
"ID1",1,1,1,7.01814194407229,2,906,53.0197993169218,117187,"min",41560.378392698,69128.2406862583,"wb","eswatini"
"ID2",1,1,1,5.3837675876267,2,880,46.0219815942023,152522,"min",191047.061927049,223209.219902525,"wb","eswatini"
