"x_","y_","t_","id"
31.9487115384615,-26.9982607692308,2015-05-20 14:36:00,"ID1"
31.94872,-26.99822,2015-05-21 04:56:00,"ID1"
31.94922,-26.99752,2015-05-21 06:28:00,"ID1"
31.94926,-26.99753,2015-05-21 07:00:00,"ID1"
31.94899,-26.9976,2015-05-21 07:33:00,"ID1"
31.94918,-26.99759,2015-05-21 08:07:00,"ID1"
31.9493,-26.9975,2015-05-21 08:39:00,"ID1"
31.89937,-27.209915,2015-05-21 09:39:00,"ID1"
31.899345,-27.20993875,2015-05-21 10:39:00,"ID1"
31.89881,-27.21009,2015-05-21 11:39:00,"ID1"
31.898449,-27.210095,2015-05-21 12:39:00,"ID1"
31.89842,-27.21005,2015-05-21 13:39:00,"ID1"
31.896498,-27.209038,2015-05-21 14:39:00,"ID1"
31.89651,-27.20906,2015-05-22 04:58:00,"ID1"
31.89338,-27.20185,2015-05-22 06:30:00,"ID1"
31.89348,-27.20186,2015-05-22 07:31:00,"ID1"
31.8897,-27.19835,2015-05-22 08:32:00,"ID1"
31.8917631578947,-27.1999084210526,2015-05-22 09:32:00,"ID1"
31.891276,-27.198874,2015-05-22 10:32:00,"ID1"
31.891738,-27.200454,2015-05-22 11:32:00,"ID1"
31.892816,-27.201014,2015-05-22 12:32:00,"ID1"
31.89168,-27.19979,2015-05-22 13:32:00,"ID1"
31.89172,-27.1997425,2015-05-22 14:32:00,"ID1"
31.89337,-27.20182,2015-05-23 04:59:00,"ID1"
31.89173,-27.20047,2015-05-23 05:59:00,"ID1"
31.89172,-27.20042,2015-05-23 07:30:00,"ID1"
31.8917008333333,-27.2003625,2015-05-23 08:30:00,"ID1"
31.8918035294118,-27.2035729411765,2015-05-23 09:30:00,"ID1"
31.882426,-27.246654,2015-05-23 10:30:00,"ID1"
31.86761,-27.36977,2015-05-23 11:30:00,"ID1"
31.90219,-27.385,2015-05-23 12:30:00,"ID1"
31.90214,-27.38319,2015-05-23 13:30:00,"ID1"
31.9015525,-27.3826725,2015-05-23 14:30:00,"ID1"
31.91025,-27.38194,2015-05-24 04:56:00,"ID1"
31.91034,-27.38198,2015-05-24 06:28:00,"ID1"
31.91032,-27.38204,2015-05-24 07:00:00,"ID1"
31.91034,-27.38204,2015-05-24 07:33:00,"ID1"
31.9103,-27.38193,2015-05-24 08:07:00,"ID1"
31.91029,-27.382,2015-05-24 08:41:00,"ID1"
31.91036,-27.38201,2015-05-24 09:15:00,"ID1"
31.91031,-27.38198,2015-05-24 09:49:00,"ID1"
31.91035,-27.38199,2015-05-24 10:28:00,"ID1"
31.91032,-27.38197,2015-05-24 11:06:00,"ID1"
31.91025,-27.38193,2015-05-24 11:39:00,"ID1"
31.9103333333333,-27.3819266666667,2015-05-24 12:39:00,"ID1"
31.9103071428571,-27.3819385714286,2015-05-24 13:39:00,"ID1"
31.9103542857143,-27.3819471428571,2015-05-24 14:39:00,"ID1"
31.90159,-27.3827,2015-05-25 04:54:00,"ID1"
